number,short_description,close_notes,description
INC1057447,Needs SPSS updated,"Hi Ronit, 
I have pushed SPSS 24 through the Managed Software Center (it should show up there in a few minutes). Once it installs, you can go to 
Applications - IBM - SPSS - Statistics - 24 - SPSS Statistics License Authorization Wizard
-Click 'Next'.
-Choose 'License my product now' & click 'Next'.
-Enter the authorization code listed below & click 'Next'.
-You should see that the ""Authorization succeeded"".
-Click 'Next' to see the license is valid through an upcoming date.
-Click 'Finish'.?

SPSS Licensing Details:
-Choose 'Authorized user license' ?during installation
-When prompted, please enter the following information: 
User's Name: 
Organization: University of Michigan 
SPSS 24 Authorization Code: d116cc3e6923e0c0ffa3


Let us know if you run into trouble.

Thanks, Kari",
INC0969572,Software request: Adobe Acrobat Pro,"Hi Anthony,

It was nice working with you this morning. It looks like the best option for your redaction needs is to use Adobe Acrobat XI Pro on the MiApps platform. After the PDF is created in Word, you can open it in Acrobat Pro and choose Tools>Protection>Mark for Redaction, then Apply Redactions and save the redacted file with a new name (it automatically adds ""-Redacted"" for you).

Kathy Bovenschen
Neighborhood IT ~ Central Campus 5
MiWorkspace","Hello,

I am looking for software that allows me to send students redacted
information. There seems to be software available,  Adobe Acrobat Pro,
however there is an annual fee. Do we have any software here at UM that I
can use to redact files that can be sent over email?

Here is a site that explains my problem:
https://lawyerist.com/112951/how-to-redact-a-pdf/

Thank you,
Anthony

*Anthony T. Williams Jr. *
Assistant Director, Housing Student Conduct and Conflict Resolution
University Housing
100 Student Activities Building
515 E. Jefferson Ave. Ann Arbor, MI 48109-1316
phone: 734-647-4753, fax: 734-763-2313
email: atwjr@umich.edu

[image: Inline image 1]
??


*This message, including attachments, contains information that may be
 confidential and privileged.  Unless you are the addressee (or
authorized  to receive for the addressee), you may not use, copy, or
disclose to anyone the message or any information contained in this
message.  If you have received the message in error, please advise the
sender by reply-mail, and delete/destroy the message.*"
INC1058083,InDesign Install Request,"We have deployed ""Indesign"" to your computer. It may take some time before it's ready to install, and it can't install when you're logged in.  If you leave your desk for lunch or at the end of the day, please logout of your computer and leave it sitting at the login screen, connected to a powersource.  The software will install while you're gone.  Please let us know if you have any trouble.","Hello,
I need to use InDesign but it is not showing up in the applications tab in service center on my computer.
Thank you"
INC1056927,SASweave Request,"Sorry that I could not get SASweave to install. I hope RStudio will be sufficient, but should you want to revisit this, you may reopen this ticket and call us.",I would like to install SASweave to my desktop computer
INC1056935,Logic Pro X Installation Request for Paul Schoenfeld,"We have installed Logic Pro X on MIWS0012145. Please run Managed Software Center if you would like to use this software immediately.  You can do that by clicking on the MiWorkspace icon (it looks like a checkerboard monitor) from the menu bar at the top of the screen and then selecting ""Managed Software Center.""  Then, choose the Updates tab and click ""Update All.""  Additionally, Managed Software Center will automatically appear in a few hours if you choose not to install your items right now.","Hello,

Please push Logic Pro X out to SMTD Professor Paul Schoenfeld's MacBook
(MIWS0012145). Let me know if you need any additional information.

Thanks,

Andrew

Andrew Wollner
Music & Multimedia Computer Specialist
School of Music, Theatre & Dance
University of Michigan, Ann Arbor

734-763-2717
andwoll@umich.edu

[image: U-M School of Music, Theatre & Dance] <http://music.umich.edu>"
INC1053604,Request to install Perceptive Content,"Chad,

Thank you for confirming your computer now has Perceptive Content installed. Best wishes with your Perceptive Content learning curve!

If you have any other questions or require additional assistance, please contact the ITS Service Center by phone at (734)764-4-HELP (4-4357), by chat at https://chatsupport.it.umich.edu/ or by email at 4help@umich.edu.


Marcus Hunt",I need Perceptive Content added to my computer. 
INC1040807,Mcard update 5/4/2017,All stations have been updated.,"Help,

Please deploy the McardPB12 file in

https://umich.box.com/s/12nb0verdcu647i66jon

and install on all your the MiWorkspace machines that have the Mcard client
on it (listed below)

Update includes:

   - Added new photo upload/orientation groups 'ELI', 'ROSSGI'
   - Added 'Michigan Medicine' to error messages
   - Removed the camera icon, 'Get Photo from Digital Camera'.  This was
   sometimes confused with the video icon.


1011 SAB
*M-2UA4201KCT Front desk
other Front desk machines
*M-2UA4201KDJ Lobby cart
*Lindsay's laptop /lindsfa (Mcard Center - SAB #3)
*M-CNU411BXQ5, MIWS0008250 backup laptop (Mcard Center - SAB #3)
backup laptop /see Lindsay, Zack or Jamal
*M-2UA4201KDV, Zack (SAB #4)
?M-2UA2202718, MIWS0003623
*M-2UA4201KDX, Behind Lindsay
Randi's machine /randij
Jamal's machine /hagojama
Erin's machine /eksimi

PPC
*B430 Pierpont Commons m-2UA4201KDQ, MIWS0010944

WoTo Employment Office:
*M-2UA240086VV / MIWS0000755

CCRB (CLOSED until May 8)
*M-2ua64829R5

Please have it installed at SAB by 5/19/2017.




er Front desk machines  4 *M-2UA4201KDJ Lobby cart  5 *Lindsay's laptop
/lindsfa (Mcard Center - SAB #3)  6 *M-CNU411BXQ5, MIWS0008250 backup
laptop (Mcard Center - SAB #3)  7         backup laptop /see Lindsay, Zack
or Jamal  8 *M-2UA4201KDV, Zack (SAB #4)  9 ?M-2UA2202718, MIWS0003623 10
*M-2UA4201KDX, Behind Lindsay 11 Randi's machine /randij 12 Jamal's machine
/hagojama 13 14 PPC 15 *B430 Pierpont Commons m-2UA4201KDQ, MIWS0010944 16
17 WoTo Employment Office: 18 *M-2UA240086VV / MIWS0000755 19 20
Treasurer�s Office (Woto) 21 Dave/ddoyle 22 Amy/amycobb 23 Lynn/lynng 24
Alex/yribar 25 Mike/hanssm 26 Sunley/shbush 27 Staci/sturrall 28 29 Plant,
Key Office (Church Street) 30 Nathan/nwbrown 31 Rick/rhadden 32 33 CCRB 34
*M-2ua64829R5*M-2ua"
INC1041228,Hand-install new Mcard software to specific WoTo machines,"Hi Liz,

I have installed the newest version of the MCard software on all machines listed in this ticket.

Edwin Tang
Neighborhood IT","Bob Kelty has a new version of the Mcard software that needs to be deployed by May 19, 2017.
Please install this new version to the following machines:

Wolverine Tower:
NIT South 1:

- WoTo Employment Office:
*M-2UA240086VV / MIWS0000755

- Treasurer's Office (Woto)
Dave/ddoyle
Amy/amycobb 
Lynn/lynng
Alex/yribar
Mike/hanssm
Sunley/shbush
Staci/sturrall


New software version is attached. Can also be accessed from the euc-sw/Hand Install Media/Mcard/May 2017 share.
"
INC1050724,Microsoft SQL Server Client Installation Request,"Glenn, let me know if you need anything else for the SQL Server Client.
Bill Ellsworth",I'd like to get the Microsoft SQL Server client installed to connect to a SQL Server database
INC1047152,Dragon Dictate Request,"Jill,

I'm glad we were able to get Dragon Dictate set up on your Mac.  If you have any further issues regarding this request please let us know so we can offer further assistance.

If you have any other issues in the future, please don't hesitate to reach out the ITS Service Center again.

Best,
-Peter Schwankl
Neighborhood IT","Greetings!

I recently had an ergonomic assessment with Sue Bade, and she recommends
that I have Dragon installed on my MacBookAir. She suggested that I may be
part of the ITAM consortium. Can you please help point me in the right
direction? I appreciate your time and consideration.

Best,
Jill

-- 

Jill A. Greenberg
Editor
412 Maynard Street
Ann Arbor, MI 48109-1399
Email: jillibog@umich.edu
Office: 734-764-6825  Cell: 313-671-3671
Web: record.umich.edu"
INC1052333,Box: Box Edit Update,"Good morning Jerome, I'm glad that I was able to assist you today with installing/updating your current version of Box Edit. We were able to do that in the Software Center (located in your start menu), navigating to Box Edit (under applications) and installing it from there. After a quick Reboot, everything was good to go.

I wanted to thank you for your patience, and to let you know that If you ever happen to have any questions or concerns please don't hesitate to give us a call.

Sincerely,
Robyn Forster
ITS Service Center
734-764-4357",Jerome called in to report difficulty with installing the latest Box Edit version.
INC1048355,SQL+ Software Request,Oracle is now installed.,Need help accessing SQL Plus on MWS Windows 10
INC1045732,Go-To Meeting,"Laura,
I appreciate the patience. I was contacted by Bill Manspeaker about the request that you put in and he explained that it was actually ""When2Meet"", that you were looking for. He mentioned that you were taken care of but if you have any other issues or questions, please contact us back here at 4HELP. Have a wonderful day!","Wanting to get Go-To Meeting installed.

Edit: The request was actually for When2Meet, a cloud based application that is free and requires no installation. She is all set. "
INC1046827,Time Sensitive -- Missing Software -- Compressor,"
Kai,

I'm glad we were able to get your installation of Compressor sorted out, and address your questions regarding Creative Cloud.  Handbrake, I imagine, is just hiding somewhere on your machine.  

If you have any issues in the future, please don't hesitate to reach out the ITS Service Center again, and good luck with your submission.

Best,
-Peter Schwankl
Neighborhood IT","User reports that she had Compressor on her old machine, and it's not on her new machine she got a year or so ago."
INC1046468,Software request,"
Parker,

Good to hear.  Glad we could get you the software you needed.

If you have any issues in the future, please don't hesitate to reach out the ITS Service Center again.

Best,
-Peter Schwankl
Neighborhood IT","Could I request installation of Adobe Acrobat Pro on my machine.  I don't
think I have it (I've looked, perhaps I've missed it).  I need to
occasionally compile PDF files and use text recognition, etc.

No rush on this.

Thanks!

Parker


-- 
Parker Finn
Assistant Director
Economic Growth Institute
irlee.umich.edu
University of Michigan
Phone: 734-998-6236



CONFIDENTIALITY NOTICE: The information contained in this message,
including any attachments, is intended only for the personal and
confidential use of the designated addressee(s).  If you are not an
addressee, any disclosure, copying, distribution, or use of the contents of
this message, including any attachments, is strictly prohibited.  If you
have received this message in error, please notify the sender immediately
by return message, telephone, or facsimile transmission.  Thank you."
INC1046764,Put EventMaster on MIWS0011834 / M-2UA4201KCV,"Carissa is all set. I installed the Event Master program for Stephanie Schouman. Carissa will let us know if she has any issues going forward.

Matt Dodak
NIT Central Campus 5","Good Morning,

I would like to request that the program EventMaster be added to computer MIWS0011834. I'm not sure what other information you would need, so just let me know.

Thanks,
Carissa
-- 
Carissa Elliott
Accounts Receivable Associate Supervisor
SLBF-Billing Office
515 E. Jefferson
Student Activities Building, Suite 1011
Ann Arbor, MI 48109-1316
cmbro@umich.edu, 734-936-2696
https://staff.studentlife.umich.edu/finance"
INC1044430,Request to install Tableau Desktop,"Hi Lynette,

Glad Tableau Desktop is working for you now. Feel free to contact 4-HELP if any issues come up!
(no need to reply if everything is set -- will re-open ticket)

Edwin Tang
Neighborhood IT",I need to have Tableau Desktop installed on my machine. - Contact user by Email
INC1041232,Hand-install new Mcard software to specific CCRB machines,Installed the update from the EUC share and ran the program to make sure everything was working properly.,"Bob Kelty has a new version of the Mcard software that needs to be deployed by May 19, 2017.
Please install this new version to the following machines:

CCRB
NIT Central 3:
*M-2ua2340s5l 

NOTE: the CCRB may not be open until 5/8/17. Not sure if IT staff can get in there before that date.

New software version is attached. Can also be accessed from the euc-sw/Hand Install Media/Mcard/May 2017 share.
 "
INC1036095,Adobe Acrobat Pro Install request,"Hi Margie,

Thank you for letting me know. 

Shannon",Marjorie would like Adobe Acrobat Pro installed - Department is not ITAM - Needs approval. (sent approval to Andy Cameron)
INC1043084,NVivo Software Installation Request,"I have deployed Nvivo 11 to your Elitebook. It may take some time before it's ready to install, and it can't install when you're logged in.  If you leave your desk for lunch or at the end of the day, please logout of your computer and leave it sitting at the login screen, connected to a powersource.  The software will install while you're gone.  Please let us know if you have any trouble.","Hi,

I hope your Monday is going well! Is it possible to have the software
MAXQDA installed onto my work computer?

Thanks,

Erin

-- 
Erin Riley, MPH

Project Director
Email: ecriley@umich.edu | Phone: 734-647-8826


<http://www.sexlab.org/>"
INC1041198,Please hand-install new Mcard software to specific SAB machines,"Hello,

We have successfully installed the software on all the machines besides M-2UA2202718, which reports as being dispositioned in Service Link. If you have any other needs, please feel free to submit a new ticket.

Thank you,
Noah
NIT","Bob Kelty has a new version of the Mcard software that needs to be deployed by May 19, 2017.
Please install this new version to the following machines:

1011 Student Activities Building (SAB:
NIT Central 5

*M-2UA4201KCT Front desk
other Front desk machines X
*M-2UA4201KDJ Lobby cart  X
*Lindsay's laptop /lindsfa (Mcard Center - SAB #3) X
*M-CNU411BXQ5, MIWS0008250 backup laptop (Mcard Center - SAB #3)X
*M-2UA2202718, MIWS0003623 - Disposed
*M-2UA4201KDX, Behind Lindsay X
Randi's machine /randij X
Jamal's machine /hagojama 
backup laptop /see Lindsay or Jamal X


New software version is attached. Can also be accessed from the \\euc-sw.m.storage.umich.edu\euc-sw/Hand Install Media/Mcard/May 2017 share."
INC1041219,Hand-install new Mcard software to specific Pierpont machines,"
LIz,

The MCard Software has been installed.
Have a good weekend.

Jon Hall 
ITS N. Campus","Bob Kelty has a new version of the Mcard software that needs to be deployed by May 19, 2017.
Please install this new version to the following machines:

PierPont Commons:
NIT North

*B430 Pierpont Commons m-2UA4201KDQ, MIWS0010944


New software version is attached. Can also be accessed from the euc-sw/Hand Install Media/Mcard/May 2017 share."
INC1032292,UltraEdit,"Jeff,
I am glad we could get UltraEdit approved and installed for you.  Enjoy using it.

If you have any further questions, please feel free to contact us.

Thank you

Amy

~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~
Amy Beth Hamermesh, Neighborhood IT
ITS Shared Services MiWorkspace
Call:734-764-HELP (4357) � Chat: https://chatsupport.it.umich.edu
~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~*~","Hello,

A coworker mentioned a tool called UltraEdit <http://www.ultraedit.com/>
that allows users to open large text files.  They believed the
university/ITS has a site license for the software and I would be able to
request this software be installed/pushed down to my machine by the
MiWorkspace team.

My question is

   - Do we have UltraEdit available and, if so, can I have it
   installed/pushed to my machine?

Thanks in advance for your help with this, if you have any questions please
let me know.

Jeff"
INC1031803,Needs Oracle Client Installed to her machine. ,"Jody,
I'm glad we could get the program installed to your machine using the self install option. Please let us know if you have any other questions or issues. Have a wonderful day!",Needs Oracle Client Installed to her machine. 
INC1031645,Need MacroExpress software,"I have deployed ""MacroExpress"" to machine MIWS0007056. It may take some time before it's ready to install, and it can't install when you're (or anyone else) is logged in.  If you leave your desk for lunch or at the end of the day, please logout of your computer and leave it sitting at the login screen, connected to a powersource.  The software will install while you're gone.  Please let us know if you have any trouble.","University Library - MIWS0007056

I need to load MacroExpress onto this PC. Please be aware that I'm a Mac
person myself--I'm all thumbs on a PC. So if you have me downloading from
the Managed Software Center I'll need pretty explicit directions. (I just
tried to do that by myself and couldn't even find MacroExpress as a
software option.)

Thanks!
Shannon

* * * * * * * * * * *
Shannon Zachary
Head, Dept. of Preservation & Conservation, University of Michigan Library
837 Greene St., Rm. 3202 Buhr Bldg. Ann Arbor, MI 48104-3209   734-763-6980"
INC1021505,Request for Visual Studio,"Hello Spenser,

Sounds like a plan! I am going to close this ticket for now, but if you run into any trouble with getting it installed / set-up, just reply to this e-mail to re-open your ticket. If there is anything else I can assist with, please let me know.

Regards,
Dmitri L.","I'd like to get Visual Studio installed on my computer. I was helping my supervisor (Paul Boblitt) with something when we realized I didn't have it on my computer. Both he and my other colleague on the Marketing Effort Solutions (MES) team have it installed. I tried to install it from the software center, but it wasn't listed there. I also looked on Microsoft's website for it, but I don't think the free Community version has all of the features that we need (e.g. SQL Server integration). Thanks! - Contact user by Email"
INC1024888,Install Oracle 11g,"Vinita's oracle client software was still not installed correctly. However, it was in such a half-installed state that she could neither install nor uninstall the software.  I had her delete the entire oracle folder, and then she was able to successfully re-install. Sent her the TNSNAmes.ora and after a reboot we were able to connect in Oracle.  Then we worked on downloading the tableau oracle drivers and setting the TNS_ADMIN environment variables, and after another reboot or two were successfully connected in Tableau.  ","Can I get help installing Oracle 11g to my system.

Regards,
Vinita Bolleddu
Database Analyst
University of Michigan
School of Education
Office: 734-764-5427 <(734)%20764-5427>
[image: Inline image 1]"
INC1027593,Garmin Install Request,Garmin Express 5.3.1.0 application installed successfully.,"charlie - miws laptop - link up fitness tracker to computer for Mhealthy - has to download Garmin Express 5.3.1.0 app

"
INC1022942,Software Request: iMovie ,"iMovie was set to install on machine with tag number D25KN1GTDNMP on 4/14. Please run Managed Software Center if you would like to use this software immediately.  You can do that by clicking on the MiWorkspace icon (it looks like a checkerboard monitor) from the menu bar at the top of the screen and then selecting ""Managed Software Center.""  Then, choose the Updates tab and click ""Update All.""  Additionally, Managed Software Center will automatically appear in a few hours if you choose not to install your items right now.

Please let me know us know if any questions.",We would like to know if we can have iMovie installed on this computer D25KN1GTDNMP
INC1005201,Software request Visio Pro,"Hi Brad,

It looks like there is only 1 version of the actual Microsoft Office Suite (2016) but you might see 2-3 different Microsoft Office folders in ""Start Menu > Programs"" because the version of Visio is 2013 and there might be a 2011 folder for another Microsoft Office Item.   If you see something different let me know and I can come by and take a look!  

Thanks!
Dan McCarthy
Neighborhood IT",Customer needs Visio pro to edit a document that was sent to him as soon as possible.
INC1012254,Software request for Andrew Bishop - Logic Pro X,"Hello Andrew,

I just received approval from Professor Andrew Bishop's Unit Software Approvers, and was able to get Logic Pro X pushed to his machine, it should show up in the managed software center shortly. If there is anything else I can assist with, please let me know.

Regards,
Dmitri L.","Hello,

Please make Logic Pro X available for installation on SMTD Professor Andrew
Bishop's computer (MIWS0012230, uniqname: abish). Let me know if you need
any additional information.

Thanks,

Andrew

Andrew Wollner
Music & Multimedia Computer Specialist
School of Music, Theatre & Dance
University of Michigan, Ann Arbor

734-763-2717
andwoll@umich.edu

[image: U-M School of Music, Theatre & Dance] <http://music.umich.edu>"
INC1015557,Software installation request: Crystal Reports,"Hello Melanie,

Unfortunately your request to install Crystal Reports was not approved by your unit software approvers. Aaron ( agohsman ), one of the approvers, stated he will be getting a hold of you for alternative methods of accessing Crystal Reports. If there is any we can assist with from the 4help side of things, please let me know.

Regards,
Dmitri L.",Customer would like Crystal Reports installed on her machine.
