"number","short_description","close_notes","description"
"INC1070841","Drive encryption error","Hi Brian, thanks for calling the help desk.  If you have any other bit locker problems when it's not available for you to call 4-help, you can follow the procedure that we did to restart your system.
Bill Ellsworth","After a rebuild, Brian tried to log in but immediately received a bitlocker problem.  "
"INC1070654","COM port not working?","Hello,

I understand that James has put you in contact with HITS, who handles support for the computer you are having issues with.  They use a separate ticketing system, so I am going to go ahead and close this ticket in our system.  Have a great day!

- Kris, Neighborhood IT","Matthew called in to report that he has equipment setup on a MiWS desktop that requires use of the COM port and it is not working."
"INC1066402","PENDING DELIVERY 6-7 - Docking station latch and eject button doesn't work","Mission complete","The Ultra slim hp docking station serial number (cnu436z0yj) the latch button doesn't push all the way in making the computer unable to dock. The docking station is on my desk in room 2353 of the Dana building. Please take the docking station to tech repair. Please let me know if there are any questions.

Thanks,

Tim Collier"
"INC1058105","DELIVERY - [6/7] University Library 2026 Shapiro - Laptop for Tech Repair - Docking Station Connector","Mission complete","sure dude
Laptop is having problems connecting to monitors via docking station, and may need some sort of hardware repair/replacement.

As noted in INC1049341:

""tried both VGA and DisplayPort cables, updated the dock firmware, updated the display driver, swapped the dock with a known good dock, and swapped the monitor with one we had in stock. With DisplayPort the monitor comes on for a few seconds then flickers off for a few then comes back on for a few. With VGA there's no display. I'm thinking at this point that it's something hardware-related with the connection between the computer and the dock.""

I've also attempted it on a different kind of dock we have in the office. It'll sometimes work, but will often lose connection, especially if you move the dock or do anything that could jiggle the computer/dock port connection. Sometimes it only connects to one monitor. I'm thinking there's a problem specific to the laptop port that may need to be replaced/repaired. 

MIWS tag is MIWS0014859. Serial Number 8CG53721P6.

Please let me know if you need anymore info!

-Brett"
"INC1055240","MWS Refresh Deployment - School of Education - For User hybass","Hi Hy,

I deployed your iMac and took the thunderbolt display. We went through everything, including dropbox, MWireless, crashplan and setting up your new bluetooth speaker. You are an admin on your machine as well. I believe you are all set! Let us know if you run into anything. Have a great day!

Theo Tangalakis
ITS MiWorkpsace","Please update the caller information for this ticket to the user or managing user of the machine being refreshed.
Please also update the location to the actual area of the deployment. This is for tracking purposes.

Please complete refresh activities for the following user and machine as instructed in your unit.
Username: Bass, Hyman  (hybass)
Old Serial Number: C02MG12TFD58
New Serial Number: D25TM08LGQ17

Please update this ticket with any extras received, deployed, or removed along with the machine. (i.e. monitors, docks, peripherals)

Once new hardware is in place, complete the Day One checklist in Samwise: https://miwsapps.miserver.it.umich.edu/samwise/

Once complete, update Service Link records for both new and old hardware and close this ticket."
"INC1057202","MiWorkspace","Hi Hamida,

I'm just going through and closing out our help ticket. I believe we are all set since the M: drive is now mapped to your machine. Once again, please let me know if there is anything else you need. We're always happy to help.

See you Friday!

Chris Bell
NIT Central 5","We would like to purchase a new laptop  http://computershowcase.umich.edu/item.php?cat=76&item=158403&id=4222  for Hamida Bhagirathy-Bastin <hbhagira@umich.edu> and a docking station for this laptop. She would like to have adobe pro installed on her new computer. 

She is going to a conference June 12, and we would like for her to have the laptop before that day if possible. The shortcode is 104427. Please let me know if you need additional information.
 - Contact user by Email"
"INC1068303","Help: computer cannot start up","Linglin,

The upgrade is done, and I will install the rest of the software tomorrow.

Jon Hall 
ITS N. Campus","Dear Sir or Madam,
I am sorry that I find my computer cannot start up. And maybe some problem
have happened last week when my colleague found its fan was quite loud so
they helped me unplug it. Today is the first time I start it but it didn't
work.
Could you please help me to check and repair it? I am really appreciate
that.
My office is NCRC B20 112w.
Linglin Feng"
"INC1066259","MiWorkspace - Monitors sit/stand","Connected monitors to sit/stand and set up keyboard and mouse as well. Ensured all connections functional and made an effort to cable manage the monitor and keyboard connections. Confirmed with David that the setup works for him.

","Hello! Can someone please come and install computer equipment on an ergotron standing desk? The monitors need to be mounted and the keyboard and mouse. Room 8066 for David Zuble (dzubl)

Thanks! - Contact user by Email"
"INC1068537","Pickup Scheduled [6/9] - Replace monitors","","Please pull 2 of the 24"" monitors from Procurement storage and replace Julie Brouwer's monitors in 7042-08.
One of the deployed monitors does not have video sending to tech repair.
CN464705J2"
"INC1021431","MWS Refresh Deployment - UHS - For User khubeisj","Refreshed machine and ensured new machine worked correctly.","Please update the caller information for this ticket to the user or managing user of the machine being refreshed.
Please also update the location to the actual area of the deployment. This is for tracking purposes.

Please complete refresh activities for the following user and machine as instructed in your unit.
Username: Khubeis, Juliana  (khubeisj)
Old Serial Number: BM800R1
New Serial Number: 2UA704217C

Please update this ticket with any extras received, deployed, or removed along with the machine. (i.e. monitors, docks, peripherals)

Once new hardware is in place, complete the Day One checklist in Samwise: https://miwsapps.miserver.it.umich.edu/samwise/

Once complete, update Service Link records for both new and old hardware and close this ticket."
"INC1060546","Fwd: HP Laptop w/ docking station transfer","Nick,

I have moved both computers to the correct rooms. Computer MIWS0015883 is not installed and it does not have a network connection.


Marcus Hunt","Hello,

I would like to submit a request to transfer the computer hardware
mentioned in the below email, to room 1144 in Facilities Services Building
A. Please note that the transfer should not take place any earlier than
6/5/2017, as it will be in use up to that date.

Thanks,

Nick Vanderkolk

[image: Description: Description: cid:image001.png@01CA0143.F8817230]
Water Treatment Program Manager
Maintenance - Auxiliaries & Central Shops
Facilities & Operations
Office: 734.764.3045
Cell: 248.701.0036



---------- Forwarded message ----------
From: Tom Sullivan <tomsul@umich.edu>
Date: Wed, May 24, 2017 at 5:02 PM
Subject: HP Laptop w/ docking station transfer
To: Nick Vanderkolk <nevander@umich.edu>
Cc: Lowell Hanson <ljhanson@umich.edu>, Gina Flowers <aschenbr@umich.edu>,
Gene Weincouff <eawein@umich.edu>, Julie Ashley <ashleyj@umich.edu>


Nick,

Per our conversation today, my HP laptop with docking station, two
monitors, wireless keyboard and mouse, and speakers, will become available
on June 5 for your student's workstation. I'm sending you the computer
information in case you want to submit a help ticket to plan for getting it
set up in your office. Please specify that it should not be transferred
from my office in Facilities Services Building room 1042 until June 5, as I
will still be using it during my last week at work. Thanks, Tom

[image: Inline image 1]


Tom Sullivan

U-M Facilities & Operations Maintenance | 326 East Hoover, Ann Arbor, MI
 48109

*Office: 734.936.2532 <(734)%20936-2532> | Fax: 734.615.6933
<(734)%20615-6933> *"
"INC1070116","Tech swapped wrong PC","Gina,

I moved both computers to the correct rooms. Computer MIWS0015883 (room 1144)is not installed nor does is it have a network connection.


Marcus Hunt","Needs to return and take MIWS0014289 to Gene's office.
Please see Gina for any details.
"
