number,short_description,close_notes,description
INC1059532,Relocating two workstations from Buhr 3205 to North Quad 1270,"Thanks Paul

I updated the inventory information to reflect that those two computers are now in North Quad.  Let us know if you need anything else.

Michael Emery
NIT Central 2","I write to let you know that two computers in Buhr 3205, currently assigned
to the Special Collections Library, are being loaned to me for one year, in
my capacity as PI of an NEH gran A team of student workers has been using
the equipment to support the digitization of radio program scripts and the
processing of audio files that have already been digitized. The NEH grant
ends on August 31, 2018.

To provide flexibility of workspace in North Quad, which is really tight,
I'm developing the notion of a ""pop up lab"" that utilizes industrial carts
on wheels as workstations.  I know it sounds crazy, but I want to see if I
can make it work. I will also be using some of this ""mobile computing""
equipment to support two graduate level courses that I am teaching next
year.

With that as background, I would like to relocate the equipment to North
Quad next week (the week after Memorial Day).  I do not need help with the
physical relocation, but I will need help with setup in North Quad and to
have the appropriate ""paperwork"" done so that you all know that equipment
that was once in Buhr will reside in North Quad for the next 12 months or
so.

The following are the serial numbers for the two machines in Buhr 3205 that
we will relocate to North Quad.

2UA6242B0G
2UA62429YF

Thank you much for your very effective ongoing support.

Paul





-- 
Paul Conway
Associate Professor of Information
University of Michigan School of Information"
INC1061612, set up desk for Claudia Leo 6/1 afternoon,"We have set Claudia's work station up with two iMacs.
-the Thunderbolt display was not compatible with the iMac, per request we added the other iMac from the office.
If you have any questions please let us know.

Jared Whitfield
NIT Central 2
University of Michigan
734-764-HELP (4357)
4HELP@umich.edu","Afternoon of June 1, room 1115 - set up desk for Claudia Leo (desk will be identified after the AM move- use two of the mac monitors currently in this room.  Please check with her regarding set up for her work station
Also set up a work station for temp - desk to be identified.  Can use available monitor in this room.   Contact Kelly Iott for arrangement. - Contact user by Email"
INC1064376,Please Move Computer for Daniel Rittinger,"Moved Dan's computer, 2 displays, and keyboard/mouse to 6060-19 
Updated asset in servicelink","Please move computer for Daniel Rittinger from 6060-15 to 6060-19. 
Please change his access to match Tiffinique Hamilton. 
He will be moving into Rosemary Beaudoin's space. There is a rolloff for her, REQ0092191, that will need to be completed and her computer moved before Daniel's computer can be moved to 6060-19.
"
INC1068272,Remove monitors and docking station 3rd floor 3028Q,"Hi Robin,

Thank you for sending me the email that said you wanted to have 2 monitors and a docking station removed.  I did that just now and confirmed everything with you before I left the area.  If you need anything else please do reach out.

Thank you for letting us assist you, for all you do for ITS, University of Michigan and the rest!

Daniel Green
NIT - South 2",Removed stuff
INC1068220,Cant get pass language screen ,"Joann,
I'm glad we could get you into the machine and that I scared it straight! It is no match for us! If you have any other issues or the machine decides to do this again, please let me know by replying to this email and I can further assist! Have a wonderful day, Joann!",Choose your language was not allowing her to pass that screen. 
INC1063912,"Equipment Adjustment: Krystle Bednark will be moving to Nick Campbell's old office on Monday, June 5. ","Moved monitors, keyboard, and mouse from 9082 over to Krystle's new office in 9008. Confirmed all working properly including speakers. Brought equipment from 9008 in to stock.

Krystle,

Please don't hesitate to reach out if you need our help in the future. We're always glad to help!

Thanks,
Chase","Equipment Adjustment: Krystle Bednark will be moving to Nick Campbell's old office on Monday, June 5. 

Make sure she has the right dock in Nick's office (9008), there are already monitors in that office and she is keeping her current laptop, so she should be all set. But also remove the docking station and two monitors from Krystle's old office 9082 on June 5. Thanks. "
INC1066629,Please find this izzy mac that has not checked in in more than a year,"Hi Chris,

Thanks for connecting the MacBook to the network and running updates.
Have a great evening.

Greg","
This mac:  https://izzy.dsc.umich.edu/systems/12355

Which reports as being in:  ITS

hasn't checked in in over a year and is either listed in Service Link as ""missing"", ""in use"" or ""in stock""

If it's ""in use"" � well, if it is � it's not checking in to izzy!

If it's ""missing"" � that's up to you if you want to remove the izzy record,  I'd recommend it because if it hasn't checked in in a year, it probably went to Property Disposition (or was stolen/lost) and leaving it in izzy won't change that.

If it's ""in stock"" � you have two recommended options:   1)  Remove it from izzy or 2) find it and update it.  The stronger recommendation here is just to remove it from izzy as � if it's been a year � it will be faster to reload it than it would be to update all the apps on it *and* the operating system.  IF YOU UPDATE IT � be sure to log in after you update it and run Managed Software Center to check for updates one more time so that current logs get uploaded!  


If you know it no longer exists � please delete it from izzy?   And then update SL accordingly.

If you have questions, do not hesitate to ask!

- Steve
"
INC1054944,Deploying Loaner MIWS0014890 with AutoCad and ANSYS Fluent,"Hello,

I just retrieved the loaner. Thanks for your cooperation. 


Thanks,

Morgan Grafstein
NIT Central 3",
INC1067878,Requesting to have 3 Non-Miworkspace MacBook Pro's and 2 Apple power supply's to be picked up from 1275 North Quad and taken to Prop Dispo.,This was picked up.,"Serial Numbers are:
1. W89330EA64B
2. 6N8450UW113EB
3. W863723FVWY"
INC1066946,need computer hooked up,"Hello Tina,

We stopped by this morning and moved your workstation over to your new office. If you run in to any troubles with your machine, please let us know.

Have a wonderful rest of your day!
Dmitri Lopatin
ITS MiWorkspace","Hi,

I am moving my workspace into Terrie Priebe's old office in the 4218
suite.  Could you come sometime on Monday and hook up my computer for me?

Thanks.

Tina

-- 
Tina Sanford
Student Services Administrative Assistant Sr.
Educational Studies Program
School of Education
University of Michigan
610 E. University, Rm. 4218
Ann Arbor, MI  48109-1259
734/763-9497
tsanf@umich.edu
www.soe.umich.edu"
